A B C D classA classB
-1.525 -1.052 -1.635 -0.872 0 1
-1.795 -0.575 -1.708 -0.795 0 1
-1.504 -1.186 -1.89 -0.315 0 1
-1.231 -1.509 -1.865 -0.558 0 1
-1.561 -1.216 -1.957 -0.289 0 1
-1.778 -0.938 -1.542 -1.29 0 1
-1.937 -0.645 -2.041 -0.009 0 1
-0.535 -2.003 -2.038 -0.38 0 1
0.361 -2.073 -0.983 -1.86 0 1
-1.227 -1.748 -2.132 -0.119 0 1
-0.685 -2.056 -1.039 -1.902 0 1
-1.771 -1.303 0.997 -1.959 0 1
-1.109 -1.934 -0.762 -2.096 0 1
-1.468 -1.72 -1.705 -1.485 0 1
0.735 -2.172 0.792 -2.151 0 1
-0.996 -2.1 -0.197 -2.316 0 1
-1.184 -2.036 1.139 -2.062 0 1
-2.25 -0.798 0.324 -2.365 0 1
1.554 -1.853 -1.731 -1.689 0 1
1.339 -2.051 -0.5 -2.398 0 1
-0.773 -2.358 0.81 -2.345 0 1
0.318 -2.492 1.518 -2.002 0 1
0.786 -2.42 -1.295 -2.19 0 1
1.04 -2.356 0.72 -2.473 0 1
-0.053 -2.606 -1.094 -2.366 0 1
1.823 -1.907 2.28 -1.328 0 1
1.593 -2.142 -1.071 -2.445 0 1
0.415 -2.669 1.401 -2.309 0 1
1.624 -2.197 1.799 -2.057 0 1
0.339 -2.743 0.874 -2.622 0 1
1.616 -2.281 2.766 0.402 0 1
2.581 -1.154 2.068 -1.927 0 1
1.473 -2.449 1.682 -2.311 0 1
2.444 -1.542 2.875 0.295 0 1
2.92 -0.077 1.389 -2.57 0 1
2.127 -2.048 1.222 -2.688 0 1
1.6 -2.518 0.942 -2.831 0 1
2.635 1.465 2.734 1.271 0 1
2.543 -1.677 0.834 -2.93 0 1
1.88 -2.437 2.549 -1.726 0 1
1.559 2.691 3.087 0.375 0 1
2.484 -1.922 1.984 -2.435 0 1
3.169 -0.153 2.97 -1.115 0 1
2.454 -2.059 3.095 -0.828 0 1
2.481 2.076 2.916 1.401 0 1
1.096 3.077 2.663 -1.891 0 1
3.148 0.982 0.658 3.232 0 1
2.801 1.8 3.304 0.407 0 1
2.92 1.663 2.976 1.561 0 1
3.059 1.465 3.334 -0.627 0 1
3.179 1.27 1.55 3.053 0 1
2.249 2.623 2.649 2.218 0 1
3.35 -0.967 3.393 -0.803 0 1
3.516 -0.114 2.891 2.004 0 1
1.841 3.034 2.841 2.127 0 1
2.114 2.89 1.45 3.274 0 1
3.226 1.625 3.606 -0.218 0 1
2.803 2.328 0.97 3.512 0 1
0.885 3.567 2.928 2.221 0 1
3.702 -0.18 2.653 2.588 0 1
0.237 3.73 1.773 3.291 0 1
1.003 3.633 2.657 2.674 0 1
2.364 2.976 3.428 1.641 0 1
1.068 3.68 2.856 2.555 0 1
1.676 3.481 1.848 3.393 0 1
-0.561 3.854 0.31 3.883 0 1
-0.606 3.879 1.012 3.794 0 1
-2.096 3.357 -2.082 3.366 0 1
-2.803 2.839 -1.43 3.724 0 1
2.322 3.282 0.29 4.01 0 1
-2.324 3.319 0.472 4.024 0 1
2.275 3.391 3.192 2.546 0 1
2.565 3.217 1.411 3.865 0 1
1.468 3.878 -0.587 4.104 0 1
1.933 3.703 -1.596 3.861 0 1
-2.072 3.664 -3.305 2.606 0 1
2.724 3.25 -2.093 3.688 0 1
-0.638 4.224 0.896 4.177 0 1
-1.194 4.134 -2.845 3.229 0 1
-1.695 3.99 -0.179 4.331 0 1
0.887 4.275 -0.757 4.3 0 1
-2.777 3.41 -4.104 -1.58 0 1
-2.429 3.703 -4.32 -0.978 0 1
-3.819 2.305 -2.007 3.983 0 1
-3.19 3.162 -1.583 4.203 0 1
-0.636 4.478 -4.281 1.459 0 1
-4.045 2.094 -1.95 4.116 0 1
-3.055 3.42 -2.198 4.025 0 1
-4.516 0.961 -4.617 -0.071 0 1
-3.044 3.514 -4.009 2.353 0 1
-3.978 -2.466 -3.705 2.86 0 1
-3.77 2.826 -4.378 1.743 0 1
-3.751 2.903 -4.032 2.499 0 1
-4.764 0.311 -4.039 -2.546 0 1
-4.659 -1.179 -4.46 -1.791 0 1
classA,classB
