A, B, C, D, Label
 +1.406,   1.523,  +1.277,   1.633, classA
 -0.654,   2.000,  +0.457,   2.054, classA
 +1.993,  -0.768,  +1.229,   1.747, classA
 +2.015,   0.797,  +2.158,   0.200, classA
 +1.833,   1.214,  +2.130,   0.544, classA
 -0.600,   2.147,  +0.182,   2.222, classA
 -1.402,   1.774,  -0.170,   2.255, classA
 +1.192,   1.958,  +0.591,   2.215, classA
 +2.154,   0.873,  +1.727,   1.555, classA
 +1.303,   1.962,  +0.315,   2.334, classA
 -2.114,   1.109,  +0.040,   2.387, classA
 +0.131,   2.415,  +1.453,   1.933, classA
 +0.120,   2.447,  +1.982,   1.440, classA
 +1.615,   1.884,  -0.988,   2.276, classA
 -0.833,   2.370,  -0.610,   2.437, classA
 +0.624,   2.466,  +1.299,   2.187, classA
 -0.906,   2.411,  +1.692,   1.941, classA
 -0.586,   2.540,  -1.710,   1.967, classA
 +0.193,   2.631,  -2.110,   1.584, classA
 +1.395,   2.276,  -2.558,   0.765, classA
 +1.293,   2.371,  -1.577,   2.193, classA
 +1.187,   2.461,  +1.511,   2.277, classA
 +0.008,   2.764,  -1.665,   2.206, classA
 -0.891,   2.649,  -0.430,   2.762, classA
 -2.361,   1.555,  -0.602,   2.762, classA
 -0.597,   2.795,  -1.505,   2.430, classA
 -2.713,   0.994,  -2.424,   1.573, classA
 -1.744,   2.343,  -0.488,   2.880, classA
 -1.477,   2.556,  -2.757,   1.056, classA
 -2.648,   1.376,  -2.907,   0.671, classA
 -2.910,  -0.790,  -2.749,   1.239, classA
 -2.427,   1.841,  -2.359,   1.928, classA
 -2.027,   2.317,  -2.026,   2.318, classA
 -3.092,   0.329,  -2.499,   1.851, classA
 -2.852,  -1.317,  -3.133,   0.223, classA
 -3.172,   0.004,  -1.934,   2.515, classA
 -2.321,   2.209,  -3.196,  -0.216, classA
 -3.057,   1.058,  -3.212,  -0.388, classA
 -3.266,  -0.027,  -1.839,  -2.699, classA
 -3.195,  -0.819,  -2.746,  -1.826, classA
 -0.863,  -3.216,  -2.480,  -2.222, classA
 -3.048,  -1.415,  -2.774,   1.898, classA
 -0.751,  -3.308,  -2.625,  -2.148, classA
 -3.385,  -0.510,  -1.848,   2.882, classA
 -1.938,  -2.861,  -2.249,  -2.623, classA
 -2.490,  -2.440,  -2.849,  -2.010, classA
 -2.313,  -2.651,  -1.977,  -2.910, classA
 -2.897,  -2.050,  -1.784,  -3.068, classA
 -3.547,  -0.492,  -1.025,  -3.431, classA
 -3.612,  -0.060,  -3.584,  -0.446, classA
 -2.213,  -2.894,  -1.440,  -3.347, classA
 -3.498,  -1.126,  -3.331,  -1.552, classA
 -3.278,  -1.731,  -1.897,  -3.184, classA
 -3.369,  -1.618,  -2.317,  -2.933, classA
 -1.634,  -3.397,  -2.106,  -3.126, classA
 -1.860,  -3.315,  -1.233,  -3.595, classA
 -3.677,  -1.079,  -1.234,  -3.628, classA
 +0.091,  -3.862,  -3.759,  -0.893, classA
 -3.860,  -0.517,  +2.927,  -2.569, classA
 -2.127,  -3.300,  +1.377,  -3.677, classA
 -1.487,  -3.668,  -1.794,  -3.528, classA
 +0.845,  -3.899,  -3.299,  -2.243, classA
 -2.173,  -3.383,  -0.100,  -4.019, classA
 +0.900,  -3.951,  -0.063,  -4.052, classA
 -1.383,  -3.842,  -0.679,  -4.027, classA
 -2.939,  -2.880,  -1.622,  -3.782, classA
 +3.030,  -2.830,  +3.223,  -2.608, classA
 +2.188,  -3.559,  -1.414,  -3.931, classA
 -0.223,  -4.203,  +2.535,  -3.360, classA
 +3.824,  -1.833,  +0.983,  -4.125, classA
 +1.297,  -4.070,  +2.103,  -3.718, classA
 +1.731,  -3.940,  +2.508,  -3.497, classA
 +1.364,  -4.115,  +2.070,  -3.809, classA
 +3.180,  -2.992,  +4.348,  -0.401, classA
 +3.506,  -2.654,  +2.508,  -3.612, classA
 +0.977,  -4.320,  +2.964,  -3.291, classA
 +3.649,  -2.566,  +3.752,  -2.412, classA
 +2.958,  -3.380,  +4.461,   0.526, classA
 +4.086,  -1.940,  +4.356,  -1.217, classA
 +4.537,  -0.404,  +4.553,  -0.131, classA
 +4.423,  -1.211,  +3.997,  -2.248, classA
 +2.402,  -3.943,  +4.252,  -1.800, classA
 +3.637,  -2.896,  +4.507,  -1.141, classA
 +4.535,  -1.157,  +2.687,  -3.832, classA
 +2.880,   3.729,  +4.450,  -1.549, classA
 +4.737,   0.244,  +4.301,  -1.999, classA
 +3.474,   3.275,  +4.774,   0.077, classA
 +4.754,   0.708,  +4.800,  -0.244, classA
 -1.556,  -0.673,  -1.604,   0.551, classB
 -1.724,   0.113,  -1.677,  -0.415, classB
 -1.749,  -0.186,  -1.549,  -0.833, classB
 -1.768,   0.277,  -1.784,   0.146, classB
 -1.186,  -1.382,  -1.717,  -0.607, classB
 -1.061,  -1.519,  -1.843,  -0.187, classB
 -1.794,  -0.576,  -1.697,  -0.819, classB
 -1.916,   0.012,  -1.916,  -0.006, classB
 -0.729,  -1.806,  -1.581,  -1.137, classB
 -0.813,  -1.804,  -1.799,   0.824, classB
 -1.858,  -0.768,  -1.719,  -1.041, classB
 -1.697,  -1.135,  -1.899,  -0.750, classB
 -1.002,  -1.814,  -0.854,  -1.889, classB
 -1.729,  -1.199,  -1.520,  -1.456, classB
 -0.120,  -2.132,  -1.904,  -0.968, classB
 -1.074,  -1.882,  -1.343,  -1.701, classB
 -1.972,  -0.972,  +0.372,  -2.167, classB
 -0.572,  -2.155,  -0.692,  -2.120, classB
 -0.558,  -2.191,  -1.445,  -1.739, classB
 +0.260,  -2.278,  -2.012,  -1.099, classB
 -2.205,  -0.736,  -0.405,  -2.288, classB
 +0.014,  -2.355,  -0.083,  -2.354, classB
 +0.129,  -2.383,  +0.345,  -2.362, classB
 -0.630,  -2.335,  +0.470,  -2.372, classB
 -2.448,  -0.094,  +0.867,  -2.291, classB
 +0.444,  -2.441,  -0.406,  -2.448, classB
 +0.825,  -2.373,  -1.475,  -2.034, classB
 -0.143,  -2.540,  +1.195,  -2.246, classB
 +0.835,  -2.436,  +0.023,  -2.575, classB
 +0.145,  -2.603,  -0.473,  -2.564, classB
 +0.808,  -2.511,  +2.105,  -1.590, classB
 +0.334,  -2.649,  +1.405,  -2.270, classB
 +1.993,  -1.823,  +1.939,  -1.881, classB
 +1.963,  -1.900,  -0.616,  -2.662, classB
 +1.726,  -2.159,  +1.229,  -2.476, classB
 +2.054,  -1.896,  +2.069,  -1.880, classB
 -1.363,  -2.477,  -0.720,  -2.733, classB
 +2.753,  -0.768,  +2.846,  -0.265, classB
 +2.804,  -0.697,  +0.661,  -2.813, classB
 +2.145,  -1.983,  +2.697,  -1.121, classB
 +0.879,  -2.818,  +2.707,   1.180, classB
 +1.240,  -2.714,  +1.971,  -2.240, classB
 +2.286,  -1.966,  +1.051,  -2.826, classB
 +1.502,  -2.651,  +2.483,  -1.766, classB
 +3.006,  -0.663,  +2.998,   0.699, classB
 +2.259,   2.137,  +2.794,  -1.364, classB
 +2.567,  -1.810,  +2.726,  -1.560, classB
 +2.831,  -1.431,  +3.020,  -0.970, classB
 +2.875,  -1.414,  +3.181,   0.379, classB
 +3.226,  -0.243,  +3.031,   1.131, classB
 +3.136,   0.914,  +2.853,   1.591, classB
 +3.296,   0.122,  +3.192,   0.829, classB
 +1.495,   2.975,  +3.249,  -0.725, classB
 +3.293,  -0.672,  +3.341,  -0.365, classB
 +3.128,   1.313,  +3.270,  -0.903, classB
 +2.930,   1.771,  +3.255,   1.061, classB
 +2.172,   2.687,  +3.031,  -1.658, classB
 +3.467,  -0.370,  +3.418,   0.688, classB
 +1.922,   2.946,  +3.403,  -0.893, classB
 +3.278,   1.360,  +2.566,   2.453, classB
 +3.272,   1.455,  +2.490,   2.573, classB
 +2.435,   2.668,  +2.997,   2.017, classB
 +3.252,   1.643,  +3.379,   1.364, classB
 +3.390,   1.420,  -0.149,   3.672, classB
 +1.968,   3.141,  +3.229,   1.820, classB
 -0.265,   3.728,  +1.637,   3.360, classB
 +1.577,   3.423,  +0.508,   3.735, classB
 -1.321,   3.564,  +2.413,   2.937, classB
 +0.032,   3.832,  +3.297,   1.953, classB
 -0.189,   3.859,  -0.704,   3.799, classB
 +3.695,   1.231,  -1.376,   3.644, classB
 -1.373,   3.678,  +3.390,   1.982, classB
 -0.873,   3.860,  +2.498,   3.070, classB
 +1.884,   3.516,  -1.464,   3.711, classB
 +1.986,   3.496,  +1.166,   3.848, classB
 -2.695,   3.026,  -1.849,   3.606, classB
 -0.442,   4.059,  -0.811,   4.002, classB
 +0.141,   4.112,  +2.286,   3.421, classB
 +1.336,   3.925,  -0.160,   4.143, classB
 -1.316,   3.965,  -2.589,   3.279, classB
 -1.819,   3.796,  +1.474,   3.942, classB
 -2.383,   3.508,  -1.976,   3.752, classB
 -0.347,   4.258,  -0.891,   4.178, classB
 -2.061,   3.777,  -2.228,   3.682, classB
 -1.276,   4.143,  -3.869,   1.955, classB
 -1.908,   3.927,  -2.676,   3.450, classB
 -3.824,   2.171,  +0.741,   4.335, classB
 -4.321,   0.971,  -0.749,   4.365, classB
 -4.413,   0.651,  -2.395,   3.763, classB
 -4.247,   1.462,  -4.023,   1.997, classB
 -4.459,  -0.758,  -4.495,  -0.505, classB
 -1.889,   4.145,  -4.542,  -0.339, classB
 -1.035,   4.468,  -4.352,   1.445, classB
 -4.423,  -1.325,  -2.030,   4.147, classB
 -3.866,   2.581,  -4.587,  -0.757, classB
 -1.682,   4.368,  -3.809,  -2.720, classB
 -4.377,   1.743,  -4.219,  -2.097, classB
 -4.477,   1.568,  -3.790,  -2.852, classB
 -3.512,  -3.235,  -4.175,   2.316, classB
 -4.353,   2.038,  -4.806,   0.009, classB
 +1.667,  -0.310,  +1.696,   0.023, classA
 +1.571,  -0.717,  +1.606,  -0.636, classA
 +0.310,   1.731,  +1.664,  -0.568, classA
 +1.731,   0.455,  +1.729,   0.463, classA
 +0.935,   1.563,  +1.815,  -0.155, classA
 +1.213,  -1.401,  +1.584,   0.961, classA
 +1.663,   0.887,  +1.780,  -0.618, classA
 +1.228,   1.470,  +1.283,   1.422, classA
 +0.964,   1.692,  -0.108,   1.944, classA
 +1.533,   1.251,  +1.885,   0.602, classA
 +1.777,   0.939,  +1.615,   1.197, classA
 +1.163,   1.678,  -0.056,   2.041, classA
 +0.801,   1.912,  +1.242,   1.660, classA
 +1.474,   1.502,  +2.104,   0.027, classA
 +2.066,   0.542,  +0.315,   2.112, classA
 -0.118,   2.164,  +1.579,   1.485, classA
 +1.794,   1.271,  +0.566,   2.124, classA
 +0.664,   2.129,  +1.864,   1.224, classA
 +0.907,   2.071,  -1.303,   1.848, classA
 +2.072,   0.982,  +1.772,   1.454, classA
 +1.185,   1.999,  +1.958,   1.252, classA
 +0.034,   2.355,  +0.165,   2.350, classA
 +0.671,   2.291,  -0.766,   2.261, classA
 +0.224,   2.408,  -0.447,   2.377, classA
 -1.153,   2.161,  +0.980,   2.245, classA
 +2.461,   0.319,  -1.457,   2.008, classA
 -0.868,   2.358,  +1.742,   1.811, classA
 +0.044,   2.544,  -0.936,   2.365, classA
 -0.590,   2.507,  -0.633,   2.496, classA
 -0.106,   2.605,  -1.357,   2.226, classA
 -2.092,   1.607,  -0.739,   2.533, classA
 -2.142,   1.593,  -2.638,  -0.410, classA
 -0.175,   2.695,  -2.081,   1.722, classA
 -0.006,   2.733,  -1.975,   1.888, classA
 +0.018,   2.764,  -2.584,   0.981, classA
 -1.949,   2.004,  -2.110,   1.834, classA
 -1.833,   2.152,  -2.775,   0.537, classA
 -1.828,   2.197,  -2.494,   1.395, classA
 -1.436,   2.507,  -1.655,   2.369, classA
 -2.032,   2.098,  -0.740,   2.826, classA
 -0.385,   2.927,  -2.591,   1.416, classA
 -2.672,   1.327,  -2.450,   1.703, classA
 -2.974,   0.499,  -1.902,   2.340, classA
 -3.001,   0.525,  -1.392,   2.710, classA
 -3.004,   0.670,  -2.821,   1.232, classA
 -3.078,   0.439,  -3.090,   0.349, classA
 -2.437,   1.982,  -3.131,   0.244, classA
 -2.129,   2.352,  -2.727,   1.621, classA
 -3.204,  -0.004,  -2.723,  -1.688, classA
 -3.220,  -0.310,  -2.633,  -1.880, classA
 -3.229,  -0.492,  -3.257,  -0.245, classA
 -3.026,  -1.312,  -3.203,  -0.785, classA
 -3.245,   0.745,  -2.965,   1.514, classA
 -1.427,  -3.043,  -2.975,  -1.563, classA
 -3.243,   0.994,  -2.783,  -1.940, classA
 -2.753,  -2.035,  -3.393,  -0.455, classA
 -3.059,  -1.607,  -3.234,  -1.217, classA
 -3.277,  -1.190,  -3.234,  -1.303, classA
 -2.159,  -2.778,  -1.645,  -3.110, classA
 -3.500,  -0.587,  -3.325,  -1.243, classA
 -3.492,  -0.791,  -3.318,  -1.347, classA
 -1.253,  -3.388,  -1.473,  -3.298, classA
 -3.583,  -0.660,  -3.434,  -1.218, classA
 -1.604,  -3.307,  +0.013,  -3.675, classA
 -3.615,  -0.817,  -3.035,  -2.128, classA
 -3.208,  -1.918,  -2.581,  -2.704, classA
 -3.019,  -2.257,  +0.668,  -3.710, classA
 -2.561,  -2.808,  -3.473,  -1.543, classA
 -3.515,  -1.525,  -0.417,  -3.809, classA
 -2.305,  -3.100,  -3.794,  -0.731, classA
 -2.256,  -3.175,  +1.224,  -3.698, classA
 -2.622,  -2.923,  +0.789,  -3.846, classA
 -1.275,  -3.747,  -1.364,  -3.715, classA
 -1.881,  -3.518,  -0.803,  -3.908, classA
 +1.800,  -3.595,  -0.343,  -4.006, classA
 -2.448,  -3.229,  +0.349,  -4.037, classA
 -1.087,  -3.936,  -1.982,  -3.570, classA
 -0.817,  -4.033,  +1.098,  -3.966, classA
 -1.566,  -3.839,  -0.932,  -4.040, classA
 -0.432,  -4.155,  +1.355,  -3.952, classA
 +2.280,  -3.538,  +0.683,  -4.153, classA
 -0.065,  -4.240,  +4.238,   0.154, classA
 +1.025,  -4.147,  +2.456,  -3.495, classA
 +3.724,  -2.157,  +1.510,  -4.030, classA
 +1.581,  -4.036,  +3.039,  -3.091, classA
 -1.671,  -4.034,  +3.299,  -2.860, classA
 +4.244,  -1.153,  +2.503,  -3.616, classA
 +2.882,  -3.363,  +2.761,  -3.463, classA
 +1.817,  -4.074,  +3.400,  -2.887, classA
 +2.581,  -3.677,  -0.210,  -4.487, classA
 +4.446,  -0.834,  +2.937,  -3.440, classA
 +4.082,  -2.021,  +3.756,  -2.577, classA
 +2.539,  -3.819,  +4.552,  -0.558, classA
 +4.489,  -1.080,  +3.766,   2.672, classA
 +4.113,  -2.167,  +4.543,   0.986, classA
 +2.876,  -3.692,  +4.664,   0.388, classA
 +1.985,  -4.273,  +4.129,   2.270, classA
 +3.766,  -2.884,  +3.921,  -2.668, classA
 +4.485,  -1.638,  +4.477,  -1.658, classA
 +4.540,  -1.576,  +4.437,  -1.847, classA
 -1.496,  -0.799,  -1.540,  -0.711, classB
 -1.486,  -0.881,  -1.608,  -0.631, classB
 -1.654,  -0.598,  -1.748,   0.191, classB
 -1.630,  -0.740,  -1.784,   0.145, classB
 -1.472,  -1.073,  -1.816,   0.145, classB
 -1.525,  -1.052,  -1.635,  -0.872, classB
 -1.795,  -0.575,  -1.708,  -0.795, classB
 -1.504,  -1.186,  -1.890,  -0.315, classB
 -1.231,  -1.509,  -1.865,  -0.558, classB
 -1.561,  -1.216,  -1.957,  -0.289, classB
 -1.778,  -0.938,  -1.542,  -1.290, classB
 -1.937,  -0.645,  -2.041,  -0.009, classB
 -0.535,  -2.003,  -2.038,  -0.380, classB
 +0.361,  -2.073,  -0.983,  -1.860, classB
 -1.227,  -1.748,  -2.132,  -0.119, classB
 -0.685,  -2.056,  -1.039,  -1.902, classB
 -1.771,  -1.303,  +0.997,  -1.959, classB
 -1.109,  -1.934,  -0.762,  -2.096, classB
 -1.468,  -1.720,  -1.705,  -1.485, classB
 +0.735,  -2.172,  +0.792,  -2.151, classB
 -0.996,  -2.100,  -0.197,  -2.316, classB
 -1.184,  -2.036,  +1.139,  -2.062, classB
 -2.250,  -0.798,  +0.324,  -2.365, classB
 +1.554,  -1.853,  -1.731,  -1.689, classB
 +1.339,  -2.051,  -0.500,  -2.398, classB
 -0.773,  -2.358,  +0.810,  -2.345, classB
 +0.318,  -2.492,  +1.518,  -2.002, classB
 +0.786,  -2.420,  -1.295,  -2.190, classB
 +1.040,  -2.356,  +0.720,  -2.473, classB
 -0.053,  -2.606,  -1.094,  -2.366, classB
 +1.823,  -1.907,  +2.280,  -1.328, classB
 +1.593,  -2.142,  -1.071,  -2.445, classB
 +0.415,  -2.669,  +1.401,  -2.309, classB
 +1.624,  -2.197,  +1.799,  -2.057, classB
 +0.339,  -2.743,  +0.874,  -2.622, classB
 +1.616,  -2.281,  +2.766,   0.402, classB
 +2.581,  -1.154,  +2.068,  -1.927, classB
 +1.473,  -2.449,  +1.682,  -2.311, classB
 +2.444,  -1.542,  +2.875,   0.295, classB
 +2.920,  -0.077,  +1.389,  -2.570, classB
 +2.127,  -2.048,  +1.222,  -2.688, classB
 +1.600,  -2.518,  +0.942,  -2.831, classB
 +2.635,   1.465,  +2.734,   1.271, classB
 +2.543,  -1.677,  +0.834,  -2.930, classB
 +1.880,  -2.437,  +2.549,  -1.726, classB
 +1.559,   2.691,  +3.087,   0.375, classB
 +2.484,  -1.922,  +1.984,  -2.435, classB
 +3.169,  -0.153,  +2.970,  -1.115, classB
 +2.454,  -2.059,  +3.095,  -0.828, classB
 +2.481,   2.076,  +2.916,   1.401, classB
 +1.096,   3.077,  +2.663,  -1.891, classB
 +3.148,   0.982,  +0.658,   3.232, classB
 +2.801,   1.800,  +3.304,   0.407, classB
 +2.920,   1.663,  +2.976,   1.561, classB
 +3.059,   1.465,  +3.334,  -0.627, classB
 +3.179,   1.270,  +1.550,   3.053, classB
 +2.249,   2.623,  +2.649,   2.218, classB
 +3.350,  -0.967,  +3.393,  -0.803, classB
 +3.516,  -0.114,  +2.891,   2.004, classB
 +1.841,   3.034,  +2.841,   2.127, classB
 +2.114,   2.890,  +1.450,   3.274, classB
 +3.226,   1.625,  +3.606,  -0.218, classB
 +2.803,   2.328,  +0.970,   3.512, classB
 +0.885,   3.567,  +2.928,   2.221, classB
 +3.702,  -0.180,  +2.653,   2.588, classB
 +0.237,   3.730,  +1.773,   3.291, classB
 +1.003,   3.633,  +2.657,   2.674, classB
 +2.364,   2.976,  +3.428,   1.641, classB
 +1.068,   3.680,  +2.856,   2.555, classB
 +1.676,   3.481,  +1.848,   3.393, classB
 -0.561,   3.854,  +0.310,   3.883, classB
 -0.606,   3.879,  +1.012,   3.794, classB
 -2.096,   3.357,  -2.082,   3.366, classB
 -2.803,   2.839,  -1.430,   3.724, classB
 +2.322,   3.282,  +0.290,   4.010, classB
 -2.324,   3.319,  +0.472,   4.024, classB
 +2.275,   3.391,  +3.192,   2.546, classB
 +2.565,   3.217,  +1.411,   3.865, classB
 +1.468,   3.878,  -0.587,   4.104, classB
 +1.933,   3.703,  -1.596,   3.861, classB
 -2.072,   3.664,  -3.305,   2.606, classB
 +2.724,   3.250,  -2.093,   3.688, classB
 -0.638,   4.224,  +0.896,   4.177, classB
 -1.194,   4.134,  -2.845,   3.229, classB
 -1.695,   3.990,  -0.179,   4.331, classB
 +0.887,   4.275,  -0.757,   4.300, classB
 -2.777,   3.410,  -4.104,  -1.580, classB
 -2.429,   3.703,  -4.320,  -0.978, classB
 -3.819,   2.305,  -2.007,   3.983, classB
 -3.190,   3.162,  -1.583,   4.203, classB
 -0.636,   4.478,  -4.281,   1.459, classB
 -4.045,   2.094,  -1.950,   4.116, classB
 -3.055,   3.420,  -2.198,   4.025, classB
 -4.516,   0.961,  -4.617,  -0.071, classB
 -3.044,   3.514,  -4.009,   2.353, classB
 -3.978,  -2.466,  -3.705,   2.860, classB
 -3.770,   2.826,  -4.378,   1.743, classB
 -3.751,   2.903,  -4.032,   2.499, classB
 -4.764,   0.311,  -4.039,  -2.546, classB
 -4.659,  -1.179,  -4.460,  -1.791, classB
